date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Thursday, 2 April 2020",2020-04-02,2020-04-03,2020-04-02,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04
"Friday, 3 April 2020",2020-04-03,2020-04-03,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04
"Saturday, 4 April 2020",2020-04-04,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04
"Sunday, 5 April 2020",2020-04-05,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-11
"Monday, 6 April 2020",2020-04-06,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-12,2020-04-11
"Tuesday, 7 April 2020",2020-04-07,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-13,2020-04-12,2020-04-11
"Wednesday, 8 April 2020",2020-04-08,2020-04-10,2020-04-09,2020-04-08,2020-04-14,2020-04-13,2020-04-12,2020-04-11
"Thursday, 9 April 2020",2020-04-09,2020-04-10,2020-04-09,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11
"Friday, 10 April 2020",2020-04-10,2020-04-10,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11
"Saturday, 11 April 2020",2020-04-11,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11
"Sunday, 12 April 2020",2020-04-12,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-18
"Monday, 13 April 2020",2020-04-13,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-19,2020-04-18
"Tuesday, 14 April 2020",2020-04-14,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-20,2020-04-19,2020-04-18
"Wednesday, 15 April 2020",2020-04-15,2020-04-17,2020-04-16,2020-04-15,2020-04-21,2020-04-20,2020-04-19,2020-04-18
"Thursday, 16 April 2020",2020-04-16,2020-04-17,2020-04-16,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18
"Friday, 17 April 2020",2020-04-17,2020-04-17,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18
"Saturday, 18 April 2020",2020-04-18,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18
"Sunday, 19 April 2020",2020-04-19,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-25
"Monday, 20 April 2020",2020-04-20,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-26,2020-04-25
"Tuesday, 21 April 2020",2020-04-21,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-27,2020-04-26,2020-04-25
"Wednesday, 22 April 2020",2020-04-22,2020-04-24,2020-04-23,2020-04-22,2020-04-28,2020-04-27,2020-04-26,2020-04-25
"Thursday, 23 April 2020",2020-04-23,2020-04-24,2020-04-23,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25
"Friday, 24 April 2020",2020-04-24,2020-04-24,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25
"Saturday, 25 April 2020",2020-04-25,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25
"Sunday, 26 April 2020",2020-04-26,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-05-02
"Monday, 27 April 2020",2020-04-27,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-05-03,2020-05-02
"Tuesday, 28 April 2020",2020-04-28,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-05-04,2020-05-03,2020-05-02
"Wednesday, 29 April 2020",2020-04-29,2020-05-01,2020-04-30,2020-04-29,2020-05-05,2020-05-04,2020-05-03,2020-05-02
"Thursday, 30 April 2020",2020-04-30,2020-05-01,2020-04-30,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02
"Friday, 1 May 2020",2020-05-01,2020-05-01,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02
"Saturday, 2 May 2020",2020-05-02,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02
"Sunday, 3 May 2020",2020-05-03,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-09
"Monday, 4 May 2020",2020-05-04,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-10,2020-05-09
"Tuesday, 5 May 2020",2020-05-05,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-11,2020-05-10,2020-05-09
"Wednesday, 6 May 2020",2020-05-06,2020-05-08,2020-05-07,2020-05-06,2020-05-12,2020-05-11,2020-05-10,2020-05-09
"Thursday, 7 May 2020",2020-05-07,2020-05-08,2020-05-07,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09
"Friday, 8 May 2020",2020-05-08,2020-05-08,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09
"Saturday, 9 May 2020",2020-05-09,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09
"Sunday, 10 May 2020",2020-05-10,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-16
"Monday, 11 May 2020",2020-05-11,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-17,2020-05-16
"Tuesday, 12 May 2020",2020-05-12,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-18,2020-05-17,2020-05-16
