marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
S14000007,27,Banff and Buchan,"67,601","41,643",61.6%,"41,689",61.7%,"41,948",62.1%,0,10,0,36,0,46,"15,151",26,0,"15,177",36,"12,380",16,7,19,0,0,24,"2,731","15,177","12,380",72,187,"12,121",259,471,5,137,26,7,30,104,77,6,4,1,82,"1,112",0,9,19/05/17,22/05/17,65,22:00:00,02:15:00,01:55:00,04:10:00,No,0,0,0
E14000540,28,Barking,"77,022","47,679",61.9%,"47,782",62.0%,"48,104",62.5%,0,68,1,34,0,103,"11,568",107,0,"11,675",13,"9,010",80,1,93,0,0,62,"2,429","11,675","9,010",74,248,"8,688",0,126,5,43,10,56,8,150,67,31,0,0,55,566,0,6,22/05/17,26/05/17,0,22:00:00,00:10:00,00:10:00,03:15:00,No,0,0,0
E14000541,29,Barnsley Central,"64,204","39,087",60.9%,"39,153",61.0%,"39,678",61.8%,0,18,0,48,0,66,"11,718",22,3,"11,743",143,"10,372",8,2,20,3,0,10,"1,328","11,743","10,372",68,114,"9,847",214,141,18,67,25,4,39,33,55,26,15,17,53,325,36,20,18/05/17,22/05/17,36,22:00:00,00:15:00,00:20:00,02:02:00,No,0,0,0
E14000542,30,Barnsley East,"69,214","40,776",58.9%,"40,867",59.0%,"41,023",59.3%,2,17,1,71,0,91,"12,504",34,6,"12,544",126,"10,574",8,14,20,6,0,29,"1,893","12,544","10,574",72,104,"10,418",216,131,19,89,33,8,31,37,44,23,18,22,57,380,5,20,18/05/17,22/05/17,63,22:00:00,23:45:00,23:50:00,01:45:00,No ,0,0,0
E14000543,31,Barrow and Furness,"69,474","47,890",68.9%,"47,950",69.0%,"48,042",69.2%,0,12,4,44,0,60,"7,823",25,0,"7,848",109,"6,802",31,0,25,0,0,25,965,"7,848","6,802",48,44,"6,710",92,416,18,61,11,14,23,0,21,0,5,18,58,515,20,12,19/05/17,25/05/17,20,22:30:00,01:00:00,01:00:00,04:40:00,No,0,0,0
E14000544,32,Basildon and Billericay,"69,149","44,945",65.0%,"45,066",65.2%,"45,066",65.2%,0,19,1,101,0,121,"9,160",50,0,"9,210",18,"7,510",25,6,26,0,0,18,"1,625","9,210","7,510",31,150,"7,510",175,315,6,34,1,12,18,74,51,25,11,0,40,562,6, ,18/05/17,22/05/17,11,22:00:00,23:45:00,22:30:00,00:30:00,No ,0,0,0
E14000545,34,Basingstoke,"81,875","55,960",68.3%,"56,098",68.5%,"56,310",68.8%,0,31,0,107,0,138,"13,911",97,0,"14,008",23,"11,861",32,6,68,0,0,13,"2,028","14,008","11,815",20,146,"11,649",0,501,90,64,11,0,9,34,92,26,11,0,48, , , ,19/05/17,18/05/17, ,22:00:00,01:00:00,01:20:00,03:00:00,No,0,0,0
E14000546,35,Bassetlaw,"78,540","52,250",66.5%,"52,377",66.7%,"53,215",67.8%,0,29,1,97,0,127,"15,377",72,0,"15,449",39,"13,484",40,5,30,0,0,42,"2,839","16,440","13,484",43,103,"12,646",191,590,10,556,19,10,14,39,62,2,28,17,90,288,26,43,15/05/17,24/05/17,53,22:10:00,00:00:00,01:20:00,03:45:00,No,0,0,0
E14000547,36,Bath,"66,778","49,583",74.3%,"49,695",74.4%,"49,884",74.7%,0,18,2,92,0,112,"13,773",103,0,"13,876",0,"12,244",111,6,97,0,0,48,"1,267","13,773","12,244",74,83,"12,055",189,845,32,66,34,3,37,48,28,7,17,15,41,"1,055",26, ,13/05/17,15/05/17,56,22:15:00,01:00:00,01:30:00,04:00:00,No,0,0,0
E14000548,37,Batley and Spen,"80,161","53,780",67.1%,"53,908",67.2%,"54,702",68.2%,0,30,3,95,0,128,"13,203",39,0,"13,242",29,"11,890",17,0,10,29,0,35,"1,261","13,242","11,890",35,129,"11,096",164,365,7,72,5,18,12,71,36,21,1,6,47,321,114, ,15/05/17,24/05/17,34,22:30:00,01:15:00,01:30:00,04:00:00,No,0,0,0
E14000549,38,Battersea,"77,574","55,058",71.0%,"55,170",71.1%,"55,386",71.4%,0,31,0,81,0,112,"16,942",99,0,"17,041",304,"13,649",234,2,97,0,0,102,"2,957","17,041","13,669",71,140,"13,433",244,"1,262",84,29,5,52,3,58,67,15,26,7,55,"1,927",129,18,19/05/17,20/05/17,66,22:15:00,00:15:00,00:15:00,01:30:00,No,0,0,0
E14000550,39,Beaconsfield,"77,524","56,028",72.3%,"56,137",72.4%,"56,951",73.5%,0,17,1,91,0,109,"13,349",76,0,"13,425",86,"12,159",70,6,52,58,1,24,"1,055","13,425","12,159",48,92,"11,345",182,346,39,114,2,14,19,25,52,29,14,33,55,102,5,42,16/05/17,16/05/17,20,22:00:00,00:30:00,00:00:00,02:30:00, ,0,0,0
E14000551,40,Beckenham,"67,925","51,630",76.0%,"51,812",76.3%,"51,966",76.5%,26,15,0,141,0,182,"12,502",76,0,"12,578",33,"10,940",47,0,43,0,0,23,"1,525","12,578","10,940",66,70,"10,786",154,567,15,54,30,22,14,19,46,5,5,13,50,"1,000",21,40,17/05/17,24/05/17,48,22:00:00,01:30:00,01:35:00,04:30:00,No,0,0,0
E14000552,41,Bedford,"71,829","48,480",67.5%,"48,656",67.7%,"48,990",68.2%,2,91,1,82,0,176,"13,156",46,0,"13,202",4,"11,210",69,0,42,0,0,114,"1,767","13,202","11,170",39,244,"10,876",398,330,35,144,16,7,16,109,78,57,11,40,64,"1,073",42, ,15/05/17,18/05/17,82,22:00:00,23:46:00,00:00:00,03:25:00,No,0,0,0
N06000001,45,Belfast East,"63,495","42,901",67.6%,"42,994",67.7%,"43,025",67.8%,0,60,0,33,0,93,"1,132",0,0,"1,132",0,"1,069",3,0,0,0,0,1,59,"1,132",,,,"1,038",31,279,,,,,,,,,,,75,,,122, , ,0,22:20:00,00:57:00,23:55:00,02:40:00, ,0,0,0
N06000002,46,Belfast North,"68,249","45,949",67.3%,"46,107",67.6%,"46,123",67.6%,0,79,0,79,0,158,913,0,0,913,0,818,2,0,0,0,0,0,93,913,,,,802,16,739,,,,,,,,,,,71,,,212, , ,0,23:00:00,01:20:00,00:20:00,02:30:00, ,0,0,0
N06000003,47,Belfast South,"66,105","43,721",66.1%,"43,851",66.3%,"43,865",66.4%,0,59,0,71,0,130,"1,081",0,0,"1,081",0,999,4,0,0,0,0,1,77,"1,081",,,,985,14,318,,,,,,,,,,,66,,,139, , ,0,22:35:00,00:45:00,23:50:00,02:30:00, ,0,0,0
N06000004,48,Belfast West,"62,423","40,640",65.1%,"40,830",65.4%,"40,840",65.4%,17,59,1,113,0,190,648,0,0,648,0,558,2,0,0,0,0,3,85,648,,,,548,10,"1,026",,,,,,,,,,,70,,,425, , ,0,22:30:00,00:34:00,23:45:00,01:50:00, ,0,0,0
E14000553,49,Bermondsey and Old Southwark,"87,265","58,521",67.1%,"58,669",67.2%,"59,080",67.7%,2,68,0,78,0,148,"14,206",310,0,"14,516",78,"11,389",45,33,199,0,0,328,"2,167","14,161","11,389",38,208,"10,978",411,849,45,15,9,21,8,81,102,25,34,12,44,"1,371",32,25,19/05/17,26/05/17,25,22:00:00,00:15:00,00:20:00,04:00:00,No,0,0,0
