marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
N06000009,347,Lagan Valley,"72,380","44,926",62.1%,"45,044",62.2%,"45,069",62.3%,0,62,0,56,0,118,"1,125",0,0,"1,125",0,980,6,0,0,0,0,1,138,"1,125",,,,955,25,230,,,,,,,,,,,75,,,50, , ,0,22:17:00,23:55:00,22:35:00,01:00:00, ,0,0,0
S14000042,348,Lanark and Hamilton East,"77,313","50,527",65.4%,"50,584",65.4%,"50,732",65.6%,0,14,0,43,0,57,"12,887",33,0,"12,920",1,"10,475",15,15,18,0,0,54,"2,343","12,920","10,475",56,82,"10,327",148,356,9,142,15,7,34,9,68,5,9,21,92,"1,012",15,19,19/05/17,23/05/17,34,22:00:00,00:51:00,00:51:00,02:57:00,No,1,0,0
E14000776,350,Lancaster and Fleetwood,"67,154","45,989",68.5%,"45,896",68.3%,"46,355",69.0%,1,13,4,75,0,93,"12,255",69,0,"12,324",20,"10,341",27,0,49,0,0,9,"1,878","12,304","10,341",2,59,"9,882",73,389,124,65,1,1,0,10,27,22,6,8,63,677,29,16,15/05/17,24/05/17,119,22:00:00,01:40:00,01:40:00,03:35:00,No,0,0,0
E14000777,351,Leeds Central,"89,537","47,673",53.2%,"47,789",53.4%,"48,192",53.8%,1,31,2,82,0,116,"13,075",58,0,"13,133",5,"10,154",47,4,54,54,0,68,"2,752","13,133","10,154",57,145,"9,751",403,266,16,28,43,12,2,64,71,10,71,130,59,167,21,7,15/05/17,23/05/17,26,22:00:00,00:30:00,00:30:00,02:45:00,No,0,0,0
E14000778,352,Leeds East,"65,950","41,441",62.8%,"41,530",63.0%,"41,843",63.4%,1,23,1,64,0,89,"13,208",34,0,"13,242",4,"10,786",33,2,32,32,0,37,"2,320","13,242","10,786",55,132,"10,473",314,181,7,18,37,11,7,53,54,25,8,119,47, , ,2,15/05/17,23/05/17,21,22:00:00,00:30:00,00:30:00,02:30:00,No,0,0,0
E14000779,353,Leeds North East,"70,112","52,999",75.6%,"53,102",75.7%,"53,410",76.2%,12,11,2,78,0,103,"14,264",51,0,"14,315",20,"12,566",58,6,45,45,0,58,"1,537","14,315","12,566",27,170,"12,258",307,529,23,36,13,7,7,83,75,12,9,101,37,110,17,8,15/05/17,23/05/17,45,22:00:00,00:30:00,00:30:00,02:45:00,No,0,0,0
E14000780,354,Leeds North West,"68,152","46,287",67.9%,"46,384",68.1%,"46,739",68.6%,1,14,0,82,0,97,"14,361",69,0,"14,430",21,"13,064",45,4,65,65,0,44,"1,143","14,430","13,064",38,110,"12,709",382,564,17,32,28,8,2,49,52,9,56,178,35,176,19,4,15/05/17,23/05/17,29,22:00:00,00:30:00,00:30:00,02:30:00,No,0,0,0
E14000781,355,Leeds West,"67,955","42,229",62.1%,"42,301",62.2%,"42,753",62.9%,0,17,1,54,0,72,"10,806",29,0,"10,835",4,"8,899",35,1,28,28,0,51,"1,793","10,835","8,899",73,114,"8,447",451,265,12,13,54,16,3,54,45,15,112,152,46,87,6,8,15/05/17,23/05/17,19,22:00:00,00:30:00,00:30:00,02:00:00,No,0,0,0
E14000782,356,Leicester East,"77,788","52,425",67.4%,"52,683",67.7%,"53,176",68.4%,0,151,1,106,0,258,"11,901",45,0,"11,946",9,"10,103",398,4,32,0,0,34,"1,375","11,946","10,103",41,159,"9,610",228,200,5,131,17,5,19,60,79,20,13,15,43,"1,230",398, ,15/05/17,24/05/17,162,22:00:00,00:30:00,23:45:00,03:30:00,No,0,0,0
E14000783,357,Leicester South,"75,534","50,520",66.9%,"50,702",67.1%,"51,047",67.6%,0,63,0,119,0,182,"10,526",40,0,"10,566",7,"8,969",251,0,33,0,0,25,"1,288","10,566","8,969",31,124,"8,624",184,334,5,77,14,9,8,30,73,21,8,21,45,997,251, ,15/05/17,24/05/17,51,22:00:00,00:30:00,23:45:00,03:15:00,No,0,0,0
E14000784,358,Leicester West,"64,834","37,512",57.9%,"37,634",58.0%,"37,897",58.5%,0,41,0,81,0,122,"8,177",31,0,"8,208",9,"6,940",44,1,21,0,0,19,"1,183","8,208","6,940",21,87,"6,677",112,182,0,61,11,2,8,21,56,10,8,2,44,961,44, ,15/05/17,24/05/17,43,22:00:00,00:30:00,23:45:00,03:00:00,No,0,0,0
E14000785,361,Leigh,"76,202","46,874",61.5%,"46,979",61.7%,"47,274",62.0%,16,30,2,57,0,105,"14,493",40,0,"14,533",17,"11,502",58,6,17,0,3,19,"2,928","14,533","11,502",179,300,"11,207",0,225,19,45,30,38,11,66,55,100,25,31,54,"1,379",32,21,17/05/17,25/05/17,81,22:00:00,23:30:00,23:30:00,01:00:00,No,0,0,0
E14000786,362,Lewes,"70,947","54,192",76.4%,"54,328",76.6%,"54,513",76.8%,0,22,10,104,0,136,"12,880",19,0,"12,899",312,"12,084",60,2,17,0,0,44,692,"12,899","12,084",38,112,"11,899",185,"1,146",28,180,26,2,10,28,78,6,39,26,56,"12,084",49,14,17/05/17,26/05/17,26,22:00:00,00:45:00,01:00:00,03:15:00,No,0,0,0
E14000787,364,Lewisham East,"68,126","47,201",69.3%,"47,312",69.4%,"47,426",69.6%,0,29,1,81,0,111,"10,079",129,0,"10,208",30,"8,320",72,3,96,0,0,65,"1,652","10,208","8,320",78,19,"8,206",109,432,8,31,6,46,7,8,6,5,21,10,44,"1,063",10,5,19/05/17,19/05/17,63,22:00:00,01:00:00,01:00:00,03:00:00,No,0,0,0
E14000788,365,Lewisham West and Penge,"72,900","53,196",73.0%,"53,352",73.2%,"53,447",73.3%,0,44,0,112,0,156,"10,318",98,0,"10,416",17,"8,688",57,4,77,0,0,65,"1,525","10,416","8,688",78,19,"8,593",109,331,9,24,6,46,7,8,6,5,21,10,50,"1,063",12,5,19/05/17,19/05/17,63,22:00:00,01:00:00,01:00:00,15:00:00,No,0,0,0
E14000789,363,"Lewisham, Deptford","78,471","55,113",70.2%,"55,321",70.5%,"55,420",70.6%,0,25,5,178,0,208,"10,707",199,0,"10,906",46,"8,729",112,3,149,0,0,66,"1,847","10,906","8,729",84,24,"8,630",117,730,14,27,6,47,7,9,8,7,23,10,48,"1,062",24,5,19/05/17,19/05/17,63,22:00:00,01:00:00,01:00:00,03:00:00,No,0,0,0
E14000790,366,Leyton and Wanstead,"65,149","46,173",70.9%,"46,312",71.1%,"46,680",71.7%,0,37,1,101,0,139,"10,130",73,0,"10,203",31,"8,157",58,7,35,0,0,57,"2,287","10,601","8,157",29,300,"7,789",268,288,19,41,8,11,10,176,66,58,0,0,49,767,3,10,22/05/17,22/05/17,6,22:00:00,23:35:00,22:35:00,02:20:00,No,0,0,0
E14000791,367,Lichfield,"74,430","53,377",71.7%,"53,524",71.9%,"54,742",73.5%,0,11,0,136,0,147,"10,182",22,0,"10,204",1,"9,942",36,0,18,0,0,29,179,"10,204","9,942",62,181,"8,724",257,551,18,62,18,13,31,114,51,16,4,10,89,566,24,22,19/05/17,22/05/17,9,22:00:00,12:30:00,00:10:00,03:05:00,No,0,0,0
E14000792,368,Lincoln,"73,111","48,718",66.6%,"48,797",66.7%,"48,941",66.9%,0,9,9,61,0,79,"10,712",60,0,"10,772",29,"9,261",47,1,5,9,0,43,"1,406","10,772","9,261",0,85,"9,117",145,443,10,161,0,0,0,27,55,3,8,52,62,"9,261",15,12,17/05/17,20/05/17,13,22:00:00,12:30:00,00:30:00,04:00:00,No,0,0,0
S14000043,369,Linlithgow and East Falkirk,"86,186","56,094",65.1%,"56,186",65.2%,"56,387",65.4%,0,17,2,73,0,92,"14,797",29,3,"14,826",20,"12,014",37,2,27,0,0,42,"2,704","14,826","12,014",55,119,"11,813",201,392,7,164,15,7,33,37,71,11,6,19,96,"1,218",11, ,19/05/17,23/05/17,25,22:10:00,00:30:00,00:10:00,03:30:00,No,0,0,0
E14000793,370,"Liverpool, Riverside","76,332","48,020",62.9%,"48,178",63.1%,"48,291",63.3%,0,40,1,117,0,158,"9,677",69,0,"9,746",28,"7,973",29,0,41,0,0,28,"1,675","9,746","7,973",49,64,"7,860",113,435,15,34,27,3,19,5,52,7,214,7,53,756,53,5,17/05/17,27/05/17,39,22:00:00,12:02:00,00:25:00,01:45:00,No,0,0,0
E14000794,371,"Liverpool, Walton","62,738","42,197",67.3%,"42,300",67.4%,"42,440",67.6%,0,53,5,45,0,103,"8,794",49,0,"8,843",18,"7,311",26,0,31,0,0,13,"1,462","8,843","7,311",58,82,"7,171",140,197,9,39,44,4,10,13,60,9,227,2,38,577,1,2,17/05/17,27/05/17,34,22:00:00,12:35:00,00:04:00,02:04:00,No,0,0,0
E14000795,372,"Liverpool, Wavertree","62,411","43,640",69.9%,"43,759",70.1%,"43,881",70.3%,0,28,2,89,0,119,"9,764",43,0,"9,807",19,"8,286",32,1,23,0,0,10,"1,455","9,807","8,286",55,67,"8,164",122,341,8,23,39,0,16,4,56,7,180,0,42,746,0,2,17/05/17,27/05/17,31,22:00:00,12:50:00,00:55:00,02:01:00,No,0,0,0
E14000796,373,"Liverpool, West Derby","65,164","45,163",69.3%,"45,275",69.5%,"45,440",69.7%,0,37,0,75,0,112,"11,003",41,0,"11,044",12,"9,209",23,2,27,0,0,14,"1,769","11,044","9,209",72,93,"9,044",165,229,9,43,41,4,27,17,67,9,244,2,44,794,0,4,17/05/17,27/05/17,44,22:00:00,12:30:00,00:35:00,02:35:00,No,0,0,0
S14000044,374,Livingston,"81,208","52,505",64.7%,"52,589",64.8%,"52,781",65.0%,0,23,0,61,0,84,"15,283",23,8,"15,306",22,"12,312",41,8,18,0,0,39,"2,888","15,306","12,312",61,103,"12,120",192,336,10,147,21,5,35,35,60,8,8,18,88,"1,164",6, ,19/05/17,23/05/17,16,22:10:00,00:30:00,00:10:00,03:30:00,No,0,0,0
W07000045,375,Llanelli,"60,185","40,342",67.0%,"40,398",67.1%,"40,762",67.7%,0,0,0,56,0,56,"15,354",9,0,"15,363",165,"12,581",33,0,9,1,5,26,"2,708","15,363","12,581",141,144,"12,217",364,236,5,126,95,6,40,60,74,10,33,46,72,"1,187",0,11,15/05/17,24/05/17,72,22:00:00,01:00:00,01:10:00,02:00:00,No,0,0,0
E14000797,377,Loughborough,"79,607","54,148",68.0%,"54,258",68.2%,"54,623",68.6%,0,28,1,81,0,110,"12,593",74,0,"12,667",0,"11,098",43,7,56,0,0,29,"1,434","12,667","10,887",78,76,"10,733",210,501,24,88,22,35,21,11,50,15,16,5,37,"11,098",18, ,17/05/17,22/05/17,30,23:00:00,01:30:00,01:55:00,04:30:00,No ,0,0,0
E14000798,378,Louth and Horncastle,"79,007","52,772",66.8%,"52,856",66.9%,"53,113",67.2%,0,21,1,62,0,84,"14,511",48,0,"14,559",36,"12,122",64,0,12,0,0,0,"2,361","14,559","12,122",113,79,"11,865",0,422,40,109,15,55,43,24,47,8,0,0,101,183,0, ,19/05/17,21/05/17,8,22:00:00,01:03:00,01:03:00,03:00:00,No,0,0,0
E14000799,379,Ludlow,"68,034","49,970",73.4%,"50,110",73.7%,"50,243",73.8%,0,17,1,122,0,140,"11,888",30,0,"11,918",95,"10,394",45,2,26,0,0,32,"1,419","11,918","10,394",22,92,"10,261",133,412,10,76,5,6,11,15,68,9,8,11,92,600,29,15,15/05/17,18/05/17,8,22:00:00,01:30:00,01:45:00,04:18:00,No,0,0,0
E14000800,380,Luton North,"68,811","46,502",67.6%,"46,622",67.8%,"46,818",68.0%,11,43,9,57,0,120,"9,352",0, ,"9,352",9,"7,884",15,0,0,0, , , , ,"7,884",43,124,"7,688",173,193,2,25,22,32,13,83,125,13,18,21,44, , , ,15/05/17,17/05/17, ,22:00:00,00:30:00,00:30:00,02:45:00,No ,0,0,0
E14000801,381,Luton South,"67,188","46,033",68.5%,"46,133",68.7%,"46,313",68.9%,14,55,6,25,0,100,"8,084",0, ,"8,084",6,"6,684",28,0,0,0, , , ,"8,084","6,684",45,104,"6,504",143,209,2,19,22,32,13,83,125,13,18,21,52, , , ,15/05/17,17/05/17, ,22:00:00,00:30:00,00:30:00,02:45:00,No ,0,0,0
E14000802,382,Macclesfield,"75,228","54,307",72.2%,"54,444",72.4%,"54,719",72.7%,0,25,0,112,0,137,"15,703",69,3,"15,775",141,"13,795",36,0,0,69,0,33,"1,842","15,775","13,795",35,231,"13,520",278,505,17,102,8,17,10,150,74,7,5,7,72,922, , ,16/05/17,24/05/17,28,22:00:00,01:00:00,01:10:00,04:10:00,No,0,0,0
E14000803,383,Maidenhead,"76,076","58,239",76.6%,"58,347",76.7%,"58,580",77.0%,0,19,3,86,0,108,"10,396",15,0,"10,411",18,"9,189",24,3,12,0,0,14,"1,169","10,411","9,189",73,101,"8,956",233,444,25,27,1,8,12,13,8,0,0,0,61,367,14, ,19/05/17,24/05/17, ,22:00:00,00:45:00,23:35:00,03:15:00,No,0,0,0
E14000804,384,Maidstone and The Weald,"75,334","51,717",68.7%,"51,800",68.8%,"52,182",69.3%,0,19,8,56,0,83,"14,968",84,0,"15,052",49,"12,884",34,54,30,0,0,20,"2,030","15,052","12,870",0,198,"12,502",202,460,0,51,26,3,37,61,49,88,6,7,52,483,3,99,17/05/17,30/05/17,33,22:00:00,01:08:00,01:13:00,03:36:00,No,0,0,0
E14000805,385,Makerfield,"74,245","46,933",63.2%,"47,037",63.4%,"47,341",63.8%,33,21,5,45,0,104,"14,840",42,0,"14,882",11,"11,847",34,0,27,0,2,10,"2,962","14,882","11,847",191,332,"11,543",0,248,10,51,41,38,10,87,54,102,19,15,46,"1,464",34,17,17/05/17,25/05/17,205,22:00:00,23:30:00,23:30:00,01:00:00,No,0,0,0
E14000806,386,Maldon,"71,470","50,202",70.2%,"50,301",70.4%,"50,312",70.4%,0,17,1,81,0,99,"10,774",74,0,"10,848",22,"9,035",4,28,24,0,0,20,"1,737","10,848","9,119",55,29,"9,024",84,200,16,44,19,0,10,2,16,0,0,50,58,623,0,15,19/05/17,20/05/17,15,22:10:00,23:30:00,23:45:00,02:30:00,No,0,0,0
E14000807,387,Manchester Central,"90,673","49,720",54.8%,"49,870",55.0%,"50,435",55.6%,0,57,4,89,0,150,"14,267",140,190,"14,597",39,"10,929",81,2,99,0,0,98,"3,388","14,597","10,929",34,520,"10,364",565,337,79,59,20,1,13,214,237,69,0,0,63,"1,638",32,93,17/05/17,26/05/17,133,22:00:00,01:30:00,01:35:00,03:25:00,No,0,0,0
E14000808,388,"Manchester, Gorton","75,360","45,953",61.0%,"46,098",61.2%,"46,511",61.7%,0,76,4,65,0,145,"11,496",110,121,"11,727",36,"9,034",70,1,73,0,0,84,"2,465","11,727","9,034",46,371,"8,621",413,304,55,63,24,4,18,163,178,30,0,0,50,"1,528",29,111,17/05/17,26/05/17,124,22:00:00,01:30:00,01:35:00,03:40:00,No,0,0,0
E14000809,389,"Manchester, Withington","74,654","53,602",71.8%,"53,736",72.0%,"54,345",72.8%,0,28,3,103,0,134,"13,785",160,210,"14,155",73,"11,585",64,4,83,0,0,57,"2,362","14,155","11,585",50,568,"10,976",609,770,179,62,20,6,24,356,174,38,0,0,56,"1,854",28,62,17/05/17,26/05/17,84,22:00:00,01:30:00,01:35:00,03:30:00,No,0,0,0
E14000810,390,Mansfield,"77,823","50,157",64.5%,"50,256",64.6%,"50,648",65.1%,0,32,0,67,0,99,"14,242",33,0,"14,275",0,"11,919",60,5,28,0,0,45,"2,218","14,275","11,919",41,129,"11,527",320,349,18,84,37,3,1,56,54,19,8,142,66,677,12,6,15/05/17,23/05/17,37,22:00:00,01:10:00,01:25:00,04:00:00,No,0,0,0
E14000811,391,Meon Valley,"74,246","54,192",73.0%,"54,307",73.1%,"54,488",73.4%,19,17,3,76,0,115,"13,615",46,0,"13,661",22,"12,008",64,2,22,0,0,32,"1,533","13,661","12,008",31,142,"11,827",181,310,11,83,9,7,15,65,67,10,6,2,55,885,23,12,22/05/17,26/05/17,30,22:00:00,00:30:00,00:30:00,04:30:00,No,0,0,0
E14000812,392,Meriden,"81,443","54,659",67.1%,"54,756",67.2%,"57,491",70.6%,2,33,0,62,0,97,"13,075",70,0,"13,145",48,"13,253",86,2,20,156,0,24,"2,289","15,830","13,253",31,127,"10,518",158,471,21,50,11,3,17,32,65,30,0,0,50,379,30,10,03/05/17,22/05/17,55,22:00:00,00:15:00,00:30:00,02:45:00,No,0,0,0
W07000071,393,Merthyr Tydfil and Rhymney 5,"55,463","33,545",60.5%,"33,616",60.6%,"33,756",60.9%,0,30,0,41,0,71,"9,236",37,0,"9,273",5,"7,660",12,2,26,1,0,44,"1,491","9,236","7,660",76,64,"7,520",140,155,3,174,4,5,31,15,82,3,14,27,76,437,12, ,19/05/17,19/05/17,47,22:00:00,00:15:00,00:15:00,02:45:00,No,0,0,0
E14000813,42,Mid Bedfordshire,"84,161","63,138",75.0%,"63,323",75.2%,"63,462",75.4%,0,24,0,161,0,185,"15,433",167,0,"15,600",62,"13,416",67,2,4,161,0,46,"3,768","15,600","13,416",9,136,"13,277",14,460,56,86,5,4,0,65,56,15,62,14,82,"1,070",28,25,15/05/17,15/05/17, ,22:00:00,00:00:00,00:30:00,01:45:00,No,0,0,0
E14000814,184,Mid Derbyshire,"67,466","50,371",74.7%,"50,507",74.9%,"50,914",75.5%,0,20,4,112,0,136,"14,528",56,17,"14,601",32,"13,197",38,2,22,38,0,36,"1,297","14,630","13,197",0,146,"12,790",407,206,4,41,0,0,0,55,76,15,0,0,43, , , ,18/05/17,22/05/17, ,22:00:00,01:00:00,02:30:00,04:15:00,No,0,0,0
E14000815,197,Mid Dorset and North Poole,"65,050","48,265",74.2%,"48,410",74.4%,"48,777",75.0%,0,35,9,101,0,145,"11,826",47,0,"11,873",29,"10,625",13,0,18,0,0,37,"1,180","11,873","10,625",20,241,"10,258",276,543,13,344,4,4,12,182,46,13,5,10,45,392,5, ,15/05/17,24/05/17,43,22:05:00,00:45:00,00:45:00,04:00:00,No,0,0,0
E14000816,421,Mid Norfolk,"80,027","55,669",69.6%,"55,765",69.7%,"55,919",69.9%,0,27,0,69,0,96,"13,967",72,0,"14,039",33,"11,815",0,0,39,0,0,42,"2,143","14,039","11,815",44,110,"11,661",0,426,61,232,15,6,23,17,71,22,98,8,85,495,6, ,14/05/17,30/05/17,44,22:15:00,00:15:00,00:45:00,02:30:00,No,0,0,0
E14000817,555,Mid Sussex,"84,170","61,632",73.2%,"61,745",73.4%,"62,159",73.8%,0,21,0,92,0,113,"15,813",126,0,"15,939",41,"13,660",45,12,73,12,0,0,"3,273","15,939","13,660",4,407,"13,246",414,701,33,253,3,0,1,295,62,50,118,15,60,"1,572",12,2,16/05/17,18/05/17,23,22:30:00,00:15:00,00:30:00,03:00:00,No,0,0,0
N06000010,585,Mid Ulster,"68,485","46,697",68.2%,"46,975",68.6%,"47,134",68.8%,0,124,0,154,0,278,"2,118",0,0,"2,118",0,"1,855",4,0,0,0,0,0,259,"2,118",,,,"1,696",159,"1,127",,,,,,,,,,,76,,,39, , ,0,22:20:00,01:10:00,23:55:00,03:00:00, ,0,0,0
E14000818,634,Mid Worcestershire,"76,057","55,089",72.4%,"55,191",72.6%,"55,424",72.9%,0,18,2,82,0,102,"14,477",45,0,"14,522",22,"12,806",34,3,20,0,0,14,"1,645","14,522","12,806",155,58,"12,573",233,606,24,96,22,39,94,9,42,7,14,6,76,753,30,10,19/05/17,22/05/17,18,22:00:00,23:55:00,00:00:00,02:02:00,No,0,0,0
E14000819,394,Middlesbrough,"61,059","35,637",58.4%,"35,694",58.5%,"35,909",58.8%,0,35,0,22,0,57,"8,164",78,0,"8,242",22,"6,551",137,9,47,0,0,0,"1,713","8,457","6,551",66,149,"6,336",215,209,19,58,24,12,30,90,39,20,11,11,47,371,15,22,18/05/17,30/05/17,65,22:00:00,23:30:00,23:30:00,00:31:00,No,0,0,0
E14000820,395,Middlesbrough South and East Cleveland,"72,336","47,620",65.8%,"47,764",66.0%,"47,828",66.1%,17,22,0,105,0,144,"6,988",25,0,"7,013",8,"6,037",16,2,23,0,0,10,925,"7,013","6,037",17,34,"5,973",60,203,8,30,3,3,11,2,25,7,3,6,29,404,0,10,18/05/17,23/05/17,27,22:15:00,00:15:00,00:15:00,03:30:00,No,0,0,0
S14000045,396,Midlothian,"68,328","45,273",66.3%,"45,344",66.4%,"45,623",66.8%,0,19,0,52,0,71,"13,747",22,1,"13,770",3,"11,244",27,14,8,0,0,74,"2,403","13,770","11,244",85,143,"10,965",168,286,9,151,29,22,34,62,49,35,16,32,75,574,17, ,18/05/17,22/05/17,50,22:00:00,23:51:00,23:30:00,02:11:00,No,0,0,0
E14000821,397,Milton Keynes North,"89,207","63,929",71.7%,"64,044",71.8%,"64,274",72.1%,0,32,1,82,0,115,"14,888",134,0,"15,022",43,"12,879",57,2,89,0,0,51,"1,944","15,022","12,879",31,84,"12,649",111,548,215,48,7,12,12,28,43,13,57,54,69,990,14,7,15/05/17,22/05/17,107,22:00:00,01:10:00,01:20:00,04:00:00,No,0,0,0
E14000822,398,Milton Keynes South,"92,417","64,539",69.8%,"64,662",70.0%,"65,043",70.4%,0,40,1,82,0,123,"17,131",129,0,"17,260",48,"14,901",48,1,80,0,0,51,"2,179","17,260","14,901",57,130,"14,520",241,480,12,46,28,17,15,41,41,2,46,95,65,"1,311",8,6,15/05/17,22/05/17,110,22:00:00,01:00:00,01:15:00,04:00:00,No,0,0,0
E14000823,399,Mitcham and Morden,"68,705","48,118",70.0%,"48,244",70.2%,"48,418",70.5%,0,58,1,67,0,126,"9,012",32,2,"9,046",102,"7,569",44,0,32,2,0,21,"1,378","9,046","7,569",48,126,"7,395",174,231,7,15,7,19,2,43,61,22,11,9,57,937,24,99,18/05/17,19/05/17, ,22:00:00,00:30:00,00:45:00,02:30:00,No,0,0,0
E14000824,400,Mole Valley,"74,545","56,726",76.1%,"56,866",76.3%,"57,127",76.6%,0,20,3,34,83,140,"17,100",52,0,"17,152",25,"15,084",81,4,48,0,0,66,"1,869","17,152","15,084",116,76,"14,823",219,506,12,94,42,52,26,33,39,1,39,3,68,"1,194", ,0,17/05/17,20/05/17,31,22:00:00,01:00:00,01:00:00,03:00:00,No,0,0,0
W07000054,401,Monmouth,"64,909","49,734",76.6%,"49,798",76.7%,"49,847",76.8%,0,7,0,57,0,64,"13,314",26,0,"13,340",36,"10,589",23,0,26,0,0,12,"2,690","13,340","10,589",8,41,"10,540",49,445,16,53,3,2,3,5,13,23,4,2,88,151,31,4,18/05/17,18/05/17,19,22:00:00,01:00:00,01:00:00,02:30:00,No,0,0,0
W07000063,402,Montgomeryshire,"50,755","34,891",68.7%,"34,966",68.9%,"35,129",69.2%,0,6,0,69,0,75,"8,182",9,0,"8,191",36,"6,948",40,0,9,0,0,36,"1,158","8,191","6,948",23,137,"6,785",158,257,8,26,7,5,3,90,40,9,11,8,68,523,40, ,23/05/17,24/05/17,0,22:05:00,01:00:00,01:20:00,02:30:00,No,0,0,0
S14000046,403,Moray,"70,649","47,605",67.4%,"47,667",67.5%,"47,813",67.7%,0,6,1,55,0,62,"15,178",24,4,"15,206",61,"12,736",44,10,15,0,0,71,"2,330","15,206","12,760",53,103,"12,590",170,829,14,145,15,3,35,29,66,8,14,16,85,979,24,9,20/05/17,23/05/17,29,22:01:00,23:51:00,23:55:00,02:45:00,No  ,0,0,0
E14000825,404,Morecambe and Lunesdale,"66,818","45,657",68.3%,"45,729",68.4%,"46,311",69.3%,1,3,2,66,0,72,"11,421",50,0,"11,471",30,"10,293",24,0,20,0,0,12,"1,122","11,471","10,293",1,56,"9,711",71,513,151,45,0,0,1,9,18,29,5,9,65,503,17,16,15/05/17,24/05/17,98,22:00:00,01:10:00,01:10:00,03:04:00,No,0,0,0
E14000826,405,Morley and Outwood,"76,495","52,357",68.4%,"52,555",68.7%,"52,870",69.1%,3,26,1,168,0,198,"14,652",19,0,"14,671",11,"12,661",25,0,19,19,0,49,"1,898","14,671","12,661",40,74,"12,346",305,208,4,15,28,10,2,46,19,9,26,165,45,125,9,9,15/05/17,23/05/17,22,22:00:00,00:30:00,00:30:00,03:00:00,No,0,0,0
S14000047,406,Motherwell and Wishaw,"68,215","41,926",61.5%,"41,984",61.5%,"41,967",61.5%,0,8,0,50,0,58,"9,331",36,0,"9,367",27,"7,189",18,1,32,0,0,0,"2,127","9,367","7,189",55,30,"7,206",85,245,7,125,23,5,27,20,7,3,2,21,62,827,0,18,19/05/17,22/05/17,56,22:10:00,23:10:00,00:20:00,03:30:00,No,0,0,0
S14000027,407,Na h-Eileanan an Iar,"21,301","14,818",69.6%,"14,853",69.7%,"14,947",70.2%,0,15,0,20,0,35,"4,745",11,0,"4,756",0,"3,961",5,2,9,0,0,11,768,"4,756","3,961",73,21,"3,867",94,223,4,52,15,13,14,28,21,3,768,7,47,218,2,0,23/05/17,23/05/17,33,22:10:00,01:45:00,22:50:00,02:15:00,No ,0,0,0
W07000069,408,Neath,"55,862","38,285",68.5%,"38,368",68.7%,"38,619",69.1%,1,22,3,57,0,83,"13,447",27,0,"13,474",0,"10,899",13,1,26,0,0,24,"2,511","13,474","10,899",193,147,"10,648",251,206,3,44,29,8,20,24,101,19,37,7,61,492,7, ,19/05/17,26/05/17,32,22:00:00,00:15:00,00:30:00,02:35:00,No,0,0,0
E14000827,409,New Forest East,"72,602","51,366",70.8%,"51,493",70.9%,"51,676",71.2%,0,19,1,107,0,127,"12,275",28,0,"12,303",0,"10,852",29,12,0,0,0,22,"1,388","12,303","10,738",0,69,"10,669",183,525,20,81,0,1,0,27,29,12,6,108,52,238,23, ,18/05/17,19/05/17,14,22:00:00,00:30:00,00:45:00,01:15:00,No,0,0,0
E14000828,410,New Forest West,"68,786","49,627",72.1%,"49,725",72.3%,"49,895",72.5%,0,14,1,83,0,98,"11,979",32,0,"12,011",0,"10,527",32,14,4,0,0,21,"1,431","12,011","10,429",0,72,"10,357",170,604,16,146,5,2,0,26,30,9,19,79,51,218,23, ,18/05/17,19/05/17,3,22:15:00,01:45:00,01:45:00,03:15:00,No,0,0,0
E14000829,411,Newark,"75,510","55,042",72.9%,"55,179",73.1%,"55,327",73.3%,0,27,1,109,0,137,"11,089",23,0,"11,112",132,"9,627",33,1,22,0,0,24,"1,405","11,112","9,627",53,102,"9,479",177,496,17,53,13,24,16,63,34,5,10,12,77,542,2,21,15/05/17,24/05/17,11,22:10:00,01:15:00,01:45:00,03:40:00,No,0,0,0
E14000830,412,Newbury,"82,924","60,855",73.4%,"60,999",73.6%,"61,052",73.6%,0,35,16,93,0,144,"19,562",95,0,"19,657",43,"16,976",74,4,50,0,0,43,"2,469","19,616","16,976",33,143,"16,923",0,613,12,63,23,14,33,17,34,55,4,13,96,729,74,18,16/05/17,20/05/17,54,22:00:00,00:30:00,00:45:00,02:03:00,No,0,0,0
