Latitude,Longitude,Type,Date,Part of a policing operation,Policing operation,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
52.599715,-2.081367,Person search,2017-10-01T10:45:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.503678,-2.10202,Vehicle search,2017-10-01T14:03:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,
52.473263,-1.917985,Person search,2017-10-01T15:02:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.529077,-1.829055,Person and Vehicle search,2017-10-01T16:20:00+00:00,,,,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.529077,-1.829055,Person and Vehicle search,2017-10-01T16:20:00+00:00,,,,18-24,Asian/Asian British - Indian,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.545801,-1.858468,Person search,2017-10-01T16:44:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.545801,-1.858468,Person search,2017-10-01T16:44:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.452621,-1.819462,Person search,2017-10-01T17:51:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.452621,-1.819462,Person search,2017-10-01T17:54:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.452621,-1.819462,Person search,2017-10-01T17:54:00+00:00,,,,Oct-17,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.452621,-1.819462,Person search,2017-10-01T17:54:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
52.452621,-1.819462,Person search,2017-10-01T17:54:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.452621,-1.819462,Person search,2017-10-01T17:54:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.492473,-1.858845,Person search,2017-10-01T17:54:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.424863,-1.794017,Person search,2017-10-01T17:59:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.492473,-1.858845,Person search,2017-10-01T18:01:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.489923,-1.861268,Person search,2017-10-01T18:08:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.483366,-1.866207,Person and Vehicle search,2017-10-01T19:55:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.459161,-2.04034,Person search,2017-10-01T20:50:00+00:00,,,,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,FALSE,FALSE
52.459161,-2.04034,Person search,2017-10-01T20:50:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,FALSE,FALSE
52.459161,-2.04034,Person search,2017-10-01T20:50:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,FALSE,FALSE
52.447887,-1.752109,Person search,2017-10-01T21:02:00+00:00,,,,,Asian/Asian British - Indian,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.424863,-1.794017,Person search,2017-10-01T21:46:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.424863,-1.794017,Person search,2017-10-01T21:51:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.502559,-2.084663,Person search,2017-10-01T22:23:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.502559,-2.084663,Person search,2017-10-01T22:30:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.569873,-2.058885,Person and Vehicle search,2017-10-01T22:35:00+00:00,,,,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.569873,-2.058885,Person search,2017-10-01T22:35:00+00:00,,,,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
